PointID,DirectionID,IntersectionX,IntersectionY,IntersectionZ,Parameter
2,303,94.40,155.31,1.18,11.75
2,313,96.29,156.24,1.18,12.08
2,323,98.34,157.25,1.19,12.82
2,333,100.75,158.43,1.21,14.11
2,343,103.79,159.93,1.24,16.25
2,353,108.08,162.04,1.30,19.85
2,4,128.51,165.48,1.80,39.99
2,14,129.91,172.78,1.84,42.03
2,24,207.40,208.75,3.53,126.53
2,54,124.39,208.22,2.12,55.80
2,64,114.24,210.01,2.03,51.43
2,74,99.94,196.83,1.67,33.37
2,84,93.49,193.65,1.57,28.61
2,94,88.53,191.20,1.51,25.72
2,104,84.36,189.14,1.48,24.02
2,114,79.91,189.16,1.50,25.20
2,124,72.88,192.60,1.63,31.31
2,134,67.81,190.17,1.64,32.24
2,144,63.95,186.11,1.64,32.10
2,154,57.85,183.20,1.71,35.43
2,244,77.99,147.23,1.42,21.08
2,254,82.73,149.56,1.34,16.95
2,264,86.00,151.17,1.29,14.53
2,274,88.53,152.42,1.26,13.07
2,284,90.65,153.46,1.24,12.21
2,294,92.56,154.40,1.24,11.80
2,304,94.40,155.31,1.24,11.75
2,314,96.29,156.24,1.24,12.08
2,324,98.34,157.25,1.26,12.82
2,334,100.75,158.43,1.28,14.11
2,344,103.79,159.93,1.32,16.25
2,354,108.08,162.04,1.40,19.86
2,5,128.51,165.48,2.00,40.00
2,15,129.91,172.78,2.05,42.03
2,25,207.40,208.75,4.16,126.54
2,55,124.39,208.22,2.39,55.81
2,65,114.24,210.01,2.29,51.43
2,75,99.94,196.83,1.83,33.37
2,85,93.49,193.65,1.71,28.61
2,95,88.53,191.20,1.64,25.72
2,105,84.36,189.14,1.60,24.02
2,115,79.91,189.16,1.63,25.20
2,125,72.88,192.60,1.78,31.32
2,135,67.81,190.17,1.81,32.24
2,145,63.95,186.11,1.80,32.10
2,155,57.85,183.20,1.89,35.44
2,245,77.99,147.23,1.53,21.09
2,255,82.73,149.56,1.42,16.95
2,265,86.00,151.17,1.36,14.54
2,275,88.53,152.42,1.33,13.07
2,285,90.65,153.46,1.31,12.21
2,295,92.56,154.40,1.29,11.80
2,305,94.40,155.31,1.29,11.76
2,315,96.29,156.24,1.30,12.08
2,325,98.34,157.25,1.32,12.82
2,335,100.75,158.43,1.35,14.11
2,345,103.79,159.93,1.41,16.25
2,355,108.08,162.04,1.50,19.86
3,1,156.48,185.86,1.13,26.34
3,11,171.26,193.11,1.21,41.75
3,21,269.64,236.63,1.74,148.46
3,31,300.38,284.15,1.98,196.59
3,41,253.01,288.96,1.80,160.40
3,51,243.65,321.14,1.88,176.60
3,101,126.22,208.10,1.11,22.59
3,111,122.21,207.65,1.12,23.19
3,121,119.10,204.98,1.11,22.08
3,131,79.75,245.91,1.39,78.40
3,141,94.74,215.56,1.23,46.21
3,151,101.14,202.60,1.17,33.49
3,161,99.96,196.84,1.16,32.12
3,171,91.51,192.67,1.20,39.23
3,181,63.42,185.86,1.33,66.72
3,221,92.77,154.51,1.24,48.78
3,231,110.82,162.84,1.15,30.05
3,241,113.63,157.26,1.17,33.02
3,251,119.03,155.33,1.16,32.49
3,261,123.06,145.72,1.20,40.76
3,271,130.14,172.89,1.06,12.96
3,281,132.24,173.93,1.06,12.11
3,291,134.14,174.86,1.06,11.70
3,301,135.97,175.76,1.06,11.66
3,311,137.84,176.68,1.06,11.98
3,321,139.88,177.69,1.06,12.71
3,331,142.26,178.86,1.07,14.00
3,341,145.28,180.35,1.08,16.11
3,351,149.53,182.44,1.10,19.69
3,2,156.48,185.86,1.26,26.34
3,12,171.26,193.11,1.42,41.75
3,22,269.64,236.63,2.48,148.46
3,32,300.38,284.15,2.97,196.59
3,42,253.01,288.96,2.60,160.40
3,52,243.65,321.14,2.77,176.60
3,102,126.22,208.10,1.23,22.59
3,112,122.21,207.65,1.23,23.20
3,122,119.10,204.98,1.22,22.08
3,132,79.75,245.91,1.78,78.40
3,142,94.74,215.56,1.46,46.22
3,152,101.14,202.60,1.33,33.49
3,162,99.96,196.84,1.32,32.12
3,172,91.51,192.67,1.39,39.23
3,182,63.42,185.86,1.67,66.73
3,222,92.77,154.51,1.49,48.78
3,232,110.82,162.84,1.30,30.05
3,242,113.63,157.26,1.33,33.02
3,252,119.03,155.33,1.32,32.49
3,262,123.06,145.72,1.41,40.76
3,272,130.14,172.89,1.13,12.96
3,282,132.24,173.93,1.12,12.11
3,292,134.14,174.86,1.12,11.70
3,302,135.97,175.76,1.12,11.66
3,312,137.84,176.68,1.12,11.98
3,322,139.88,177.69,1.13,12.71
3,332,142.26,178.86,1.14,14.00
3,342,145.28,180.35,1.16,16.11
3,352,149.53,182.44,1.20,19.69
3,3,156.48,185.86,1.40,26.34
3,13,171.26,193.11,1.63,41.76
3,23,269.64,236.63,3.23,148.47
3,33,300.38,284.15,3.95,196.60
3,43,253.01,288.96,3.41,160.41
3,53,243.65,321.14,3.65,176.61
3,103,126.22,208.10,1.34,22.59
3,113,122.21,207.65,1.35,23.20
3,123,119.10,204.98,1.33,22.08
3,133,79.75,245.91,2.18,78.40
3,143,94.74,215.56,1.69,46.22
3,153,101.14,202.60,1.50,33.49
3,163,99.96,196.84,1.48,32.12
3,173,91.51,192.67,1.59,39.23
3,183,63.42,185.86,2.00,66.73
3,223,92.77,154.51,1.73,48.78
3,233,110.82,162.84,1.45,30.05
3,243,113.63,157.26,1.50,33.02
3,253,119.03,155.33,1.49,32.49
3,263,123.06,145.72,1.61,40.76
3,273,130.14,172.89,1.19,12.96
3,283,132.24,173.93,1.18,12.11
3,293,134.14,174.86,1.18,11.70
3,303,135.97,175.76,1.17,11.66
3,313,137.84,176.68,1.18,11.98
3,323,139.88,177.69,1.19,12.71
3,333,142.26,178.86,1.21,14.00
3,343,145.28,180.35,1.24,16.12
3,353,149.53,182.44,1.30,19.69
3,4,156.48,185.86,1.53,26.34
3,14,171.26,193.11,1.84,41.76
3,24,269.64,236.63,3.97,148.49
3,34,300.38,284.15,4.93,196.62
3,44,253.01,288.96,4.21,160.43
3,54,243.65,321.14,4.53,176.63
3,104,126.22,208.10,1.45,22.59
3,114,122.21,207.65,1.46,23.20
3,124,119.10,204.98,1.44,22.09
3,134,79.75,245.91,2.57,78.41
3,144,94.74,215.56,1.92,46.22
3,154,101.14,202.60,1.67,33.49
3,164,99.96,196.84,1.64,32.12
3,174,91.51,192.67,1.78,39.23
3,184,63.42,185.86,2.33,66.74
3,224,92.77,154.51,1.98,48.78
3,234,110.82,162.84,1.60,30.05
3,244,113.63,157.26,1.66,33.02
3,254,119.03,155.33,1.65,32.50
3,264,123.06,145.72,1.82,40.76
3,274,130.14,172.89,1.26,12.97
3,284,132.24,173.93,1.24,12.11
3,294,134.14,174.86,1.23,11.70
3,304,135.97,175.76,1.23,11.66
3,314,137.84,176.68,1.24,11.98
3,324,139.88,177.69,1.25,12.71
3,334,142.26,178.86,1.28,14.00
3,344,145.28,180.35,1.32,16.12
3,354,149.53,182.44,1.39,19.70
3,5,156.48,185.86,1.66,26.35
3,15,171.26,193.11,2.04,41.77
3,25,269.64,236.63,4.71,148.50
3,35,300.38,284.15,5.91,196.64
3,45,253.01,288.96,5.01,160.45
3,55,243.65,321.14,5.41,176.65
3,105,126.22,208.10,1.56,22.59
3,115,122.21,207.65,1.58,23.20
3,125,119.10,204.98,1.55,22.09
3,135,79.75,245.91,2.96,78.42
3,145,94.74,215.56,2.16,46.23
3,155,101.14,202.60,1.84,33.50
3,165,99.96,196.84,1.80,32.13
3,175,91.51,192.67,1.98,39.24
3,185,63.42,185.86,2.67,66.74
3,225,92.77,154.51,2.22,48.79
3,235,110.82,162.84,1.75,30.06
3,245,113.63,157.26,1.83,33.03
3,255,119.03,155.33,1.81,32.50
3,265,123.06,145.72,2.02,40.77
3,275,130.14,172.89,1.32,12.97
3,285,132.24,173.93,1.30,12.12
3,295,134.14,174.86,1.29,11.70
3,305,135.97,175.76,1.29,11.66
3,315,137.84,176.68,1.30,11.98
3,325,139.88,177.69,1.32,12.72
3,335,142.26,178.86,1.35,14.00
3,345,145.28,180.35,1.40,16.12
3,355,149.53,182.44,1.49,19.70
4,1,202.29,206.23,1.15,30.54
4,11,219.29,214.61,1.24,48.27
4,21,272.40,242.87,1.54,107.11
4,31,343.09,305.16,1.99,197.85
4,41,256.39,277.26,1.55,110.50
4,51,249.96,299.44,1.61,121.68
4,61,245.47,333.91,1.74,147.44
4,71,230.19,366.79,1.85,170.87
4,121,101.69,327.58,1.70,140.12
4,131,90.16,303.46,1.63,126.93
4,141,105.84,261.53,1.43,86.04
4,151,115.96,238.44,1.32,64.42
4,161,122.16,224.28,1.26,52.77
4,171,126.58,214.20,1.23,45.87
4,181,120.19,206.23,1.26,51.56
4,191,89.66,191.76,1.42,83.35
4,221,134.69,175.13,1.24,48.38
4,231,153.37,184.33,1.14,28.59
4,241,161.38,188.27,1.10,20.74
4,251,166.04,190.55,1.08,16.68
4,261,169.26,192.13,1.07,14.32
4,271,171.75,193.35,1.06,12.88
4,281,173.84,194.37,1.06,12.04
4,291,175.73,195.30,1.06,11.63
4,301,177.55,196.19,1.06,11.59
4,311,179.41,197.10,1.06,11.92
4,321,181.44,198.10,1.06,12.65
4,331,183.82,199.26,1.07,13.94
4,341,186.83,200.74,1.08,16.05
4,351,195.51,202.04,1.12,24.13
4,2,202.29,206.23,1.31,30.54
4,12,219.29,214.61,1.48,48.27
4,22,272.40,242.87,2.07,107.12
4,32,343.09,305.16,2.98,197.86
4,42,256.39,277.26,2.10,110.50
4,52,249.96,299.44,2.22,121.68
4,62,245.47,333.91,2.47,147.44
4,72,230.19,366.79,2.71,170.87
4,122,101.69,327.58,2.40,140.12
4,132,90.16,303.46,2.27,126.93
4,142,105.84,261.53,1.86,86.04
4,152,115.96,238.44,1.64,64.43
4,162,122.16,224.28,1.53,52.77
4,172,126.58,214.20,1.46,45.87
4,182,120.19,206.23,1.52,51.56
4,192,89.66,191.76,1.83,83.36
4,222,134.69,175.13,1.48,48.38
