381.22, 323.83, 1.00
364.43, 318.99, 1.00
350.30, 308.70, 1.00
344.85, 306.02, 1.00
341.09, 304.17, 1.00
338.19, 302.75, 1.00
335.75, 301.55, 1.00
333.55, 300.46, 1.00
331.44, 299.42, 1.00
329.27, 298.36, 1.00
326.91, 297.19, 1.00
324.14, 295.84, 1.00
320.64, 294.11, 1.00
315.71, 291.69, 1.00
307.65, 287.72, 1.00
284.58, 278.27, 1.00
189.56, 201.91, 1.00
312.16, 265.88, 1.00
325.54, 272.64, 1.00
331.19, 275.60, 1.00
334.34, 277.14, 1.00
336.51, 278.20, 1.00
338.19, 279.02, 1.00
339.61, 279.71, 1.00
340.88, 280.33, 1.00
342.11, 280.93, 1.00
343.37, 281.55, 1.00
344.75, 282.22, 1.00
346.36, 283.01, 1.00
348.40, 284.01, 1.00
351.29, 285.42, 1.00
397.73, 308.10, 1.00
407.85, 313.04, 1.00
426.20, 347.03, 1.00
401.22, 333.62, 1.00
391.91, 329.06, 1.00
386.46, 326.40, 1.00
382.70, 324.55, 1.00
379.80, 323.13, 1.00
377.36, 321.94, 1.00
375.16, 320.86, 1.00
373.04, 319.82, 1.00
370.86, 318.75, 1.00
368.49, 317.59, 1.00
337.48, 332.53, 1.00
354.86, 317.17, 1.00
357.18, 312.09, 1.00
349.07, 308.10, 1.00
331.90, 299.65, 1.00
209.66, 209.86, 1.00
353.82, 286.29, 1.00
367.36, 293.26, 1.00
372.76, 295.90, 1.00
375.93, 297.45, 1.00
378.11, 298.52, 1.00
379.80, 299.34, 1.00
381.22, 300.04, 1.00
382.51, 300.66, 1.00
383.75, 301.27, 1.00
385.01, 301.89, 1.00
386.40, 302.56, 1.00
388.02, 303.35, 1.00
390.07, 304.36, 1.00
392.97, 305.78, 1.00
450.97, 328.47, 1.00
466.61, 336.44, 1.00
469.89, 369.15, 1.00
444.41, 355.88, 1.00
435.15, 352.27, 1.00
428.59, 348.19, 1.00
424.61, 346.58, 1.00
421.41, 344.70, 1.00
418.78, 343.42, 1.00
416.39, 342.26, 1.00
400.87, 364.05, 1.00
411.98, 339.72, 1.00
410.09, 337.97, 1.00
407.32, 336.61, 1.00
403.79, 334.88, 1.00
398.83, 332.45, 1.00
390.70, 328.47, 1.00
373.42, 320.01, 1.00
302.50, 285.19, 1.00
318.96, 269.32, 1.00
396.31, 307.40, 1.00
408.90, 313.55, 1.00
413.16, 314.17, 1.00
414.91, 310.59, 1.00
417.37, 305.54, 1.00
421.41, 313.51, 1.00
429.80, 280.90, 1.00
426.00, 315.86, 1.00
428.10, 316.89, 1.00
430.28, 317.91, 1.00
432.27, 319.36, 1.00
435.42, 320.38, 1.00
438.39, 322.29, 1.00
444.52, 324.40, 1.00
620.92, 348.84, 1.00
609.75, 374.72, 1.00
648.26, 416.26, 1.00
611.50, 473.43, 1.00
484.01, 373.86, 1.00
476.64, 372.43, 1.00
470.53, 369.46, 1.00
466.30, 367.40, 1.00
463.02, 365.81, 1.00
460.27, 364.47, 1.00
457.78, 363.26, 1.00
455.37, 362.09, 1.00
452.91, 360.90, 1.00
450.22, 359.59, 1.00
447.62, 357.74, 1.00
444.11, 355.73, 1.00
437.40, 353.36, 1.00
429.94, 348.84, 1.00
411.92, 339.83, 1.00
343.38, 305.30, 1.00
363.46, 291.36, 1.00
421.26, 313.80, 1.00
440.97, 322.55, 1.00
451.38, 328.67, 1.00
456.62, 331.24, 1.00
460.23, 333.01, 1.00
463.02, 334.38, 1.00
465.38, 335.48, 1.00
467.40, 336.83, 1.00
469.40, 337.80, 1.00
471.45, 338.80, 1.00
473.69, 339.89, 1.00
476.31, 341.17, 1.00
479.64, 342.80, 1.00
