观测点id: 1, 交点id: 66, 射线角度：330, 最近交点坐标: (73.27, 129.89, 1.61)
观测点id: 1, 交点id: 67, 射线角度：340, 最近交点坐标: (80.10, 133.03, 1.71)
观测点id: 1, 交点id: 68, 射线角度：350, 最近交点坐标: (77.35, 139.75, 1.62)
观测点id: 1, 交点id: 69, 射线角度：0, 最近交点坐标: (75.15, 145.11, 1.71)
观测点id: 1, 交点id: 70, 射线角度：10, 最近交点坐标: (88.63, 152.47, 2.06)
观测点id: 1, 交点id: 71, 射线角度：20, 最近交点坐标: (149.69, 182.52, 3.73)
观测点id: 1, 交点id: 72, 射线角度：40, 最近交点坐标: (116.93, 203.86, 3.28)
观测点id: 1, 交点id: 73, 射线角度：50, 最近交点坐标: (83.51, 188.72, 2.42)
观测点id: 1, 交点id: 74, 射线角度：60, 最近交点坐标: (74.89, 193.56, 2.40)
观测点id: 1, 交点id: 75, 射线角度：70, 最近交点坐标: (61.40, 184.89, 2.06)
观测点id: 1, 交点id: 76, 射线角度：80, 最近交点坐标: (53.61, 183.06, 1.96)
观测点id: 1, 交点id: 77, 射线角度：90, 最近交点坐标: (46.92, 199.37, 2.36)
观测点id: 1, 交点id: 78, 射线角度：100, 最近交点坐标: (30.13, 240.31, 3.42)
观测点id: 1, 交点id: 79, 射线角度：110, 最近交点坐标: (-5.08, 287.96, 4.80)
观测点id: 1, 交点id: 80, 射线角度：300, 最近交点坐标: (91.90, 67.21, 3.25)
观测点id: 1, 交点id: 81, 射线角度：310, 最近交点坐标: (75.56, 110.98, 2.11)
观测点id: 1, 交点id: 82, 射线角度：320, 最近交点坐标: (68.06, 127.37, 1.69)
观测点id: 1, 交点id: 83, 射线角度：330, 最近交点坐标: (73.27, 129.89, 1.76)
观测点id: 1, 交点id: 84, 射线角度：340, 最近交点坐标: (80.10, 133.03, 1.88)
观测点id: 1, 交点id: 85, 射线角度：350, 最近交点坐标: (77.35, 139.75, 1.77)
观测点id: 2, 交点id: 86, 射线角度：0, 最近交点坐标: (128.51, 165.48, 1.20)
观测点id: 2, 交点id: 87, 射线角度：10, 最近交点坐标: (129.91, 172.78, 1.21)
观测点id: 2, 交点id: 88, 射线角度：20, 最近交点坐标: (207.40, 208.75, 1.63)
观测点id: 2, 交点id: 89, 射线角度：50, 最近交点坐标: (124.39, 208.22, 1.28)
观测点id: 2, 交点id: 90, 射线角度：60, 最近交点坐标: (114.24, 210.01, 1.26)
观测点id: 2, 交点id: 91, 射线角度：70, 最近交点坐标: (99.94, 196.83, 1.17)
观测点id: 2, 交点id: 92, 射线角度：80, 最近交点坐标: (93.49, 193.65, 1.14)
观测点id: 2, 交点id: 93, 射线角度：90, 最近交点坐标: (88.53, 191.20, 1.13)
观测点id: 2, 交点id: 94, 射线角度：100, 最近交点坐标: (84.36, 189.14, 1.12)
观测点id: 2, 交点id: 95, 射线角度：110, 最近交点坐标: (79.91, 189.16, 1.13)
观测点id: 2, 交点id: 96, 射线角度：120, 最近交点坐标: (72.88, 192.60, 1.16)
观测点id: 2, 交点id: 97, 射线角度：130, 最近交点坐标: (67.81, 190.17, 1.16)
观测点id: 2, 交点id: 98, 射线角度：140, 最近交点坐标: (63.95, 186.11, 1.16)
观测点id: 2, 交点id: 99, 射线角度：150, 最近交点坐标: (57.85, 183.20, 1.18)
观测点id: 2, 交点id: 100, 射线角度：240, 最近交点坐标: (77.99, 147.23, 1.11)
观测点id: 2, 交点id: 101, 射线角度：250, 最近交点坐标: (82.73, 149.56, 1.08)
观测点id: 2, 交点id: 102, 射线角度：260, 最近交点坐标: (86.00, 151.17, 1.07)
观测点id: 2, 交点id: 103, 射线角度：270, 最近交点坐标: (88.53, 152.42, 1.07)
观测点id: 2, 交点id: 104, 射线角度：280, 最近交点坐标: (90.65, 153.46, 1.06)
观测点id: 2, 交点id: 105, 射线角度：290, 最近交点坐标: (92.56, 154.40, 1.06)
观测点id: 2, 交点id: 106, 射线角度：300, 最近交点坐标: (94.40, 155.31, 1.06)
观测点id: 2, 交点id: 107, 射线角度：310, 最近交点坐标: (96.29, 156.24, 1.06)
观测点id: 2, 交点id: 108, 射线角度：320, 最近交点坐标: (98.34, 157.25, 1.06)
观测点id: 2, 交点id: 109, 射线角度：330, 最近交点坐标: (100.75, 158.43, 1.07)
观测点id: 2, 交点id: 110, 射线角度：340, 最近交点坐标: (103.79, 159.93, 1.08)
观测点id: 2, 交点id: 111, 射线角度：350, 最近交点坐标: (108.08, 162.04, 1.10)
观测点id: 2, 交点id: 112, 射线角度：0, 最近交点坐标: (128.51, 165.48, 1.40)
观测点id: 2, 交点id: 113, 射线角度：10, 最近交点坐标: (129.91, 172.78, 1.42)
观测点id: 2, 交点id: 114, 射线角度：20, 最近交点坐标: (207.40, 208.75, 2.27)
观测点id: 2, 交点id: 115, 射线角度：50, 最近交点坐标: (124.39, 208.22, 1.56)
观测点id: 2, 交点id: 116, 射线角度：60, 最近交点坐标: (114.24, 210.01, 1.51)
观测点id: 2, 交点id: 117, 射线角度：70, 最近交点坐标: (99.94, 196.83, 1.33)
观测点id: 2, 交点id: 118, 射线角度：80, 最近交点坐标: (93.49, 193.65, 1.29)
观测点id: 2, 交点id: 119, 射线角度：90, 最近交点坐标: (88.53, 191.20, 1.26)
观测点id: 2, 交点id: 120, 射线角度：100, 最近交点坐标: (84.36, 189.14, 1.24)
观测点id: 2, 交点id: 121, 射线角度：110, 最近交点坐标: (79.91, 189.16, 1.25)
观测点id: 2, 交点id: 122, 射线角度：120, 最近交点坐标: (72.88, 192.60, 1.31)
观测点id: 2, 交点id: 123, 射线角度：130, 最近交点坐标: (67.81, 190.17, 1.32)
观测点id: 2, 交点id: 124, 射线角度：140, 最近交点坐标: (63.95, 186.11, 1.32)
观测点id: 2, 交点id: 125, 射线角度：150, 最近交点坐标: (57.85, 183.20, 1.35)
观测点id: 2, 交点id: 126, 射线角度：240, 最近交点坐标: (77.99, 147.23, 1.21)
观测点id: 2, 交点id: 127, 射线角度：250, 最近交点坐标: (82.73, 149.56, 1.17)
观测点id: 2, 交点id: 128, 射线角度：260, 最近交点坐标: (86.00, 151.17, 1.15)
观测点id: 2, 交点id: 129, 射线角度：270, 最近交点坐标: (88.53, 152.42, 1.13)
观测点id: 2, 交点id: 130, 射线角度：280, 最近交点坐标: (90.65, 153.46, 1.12)
